id,name,primary_wing_id,primary_hall_id,primary_room_id,tier,rationale,secondary_hall_ids,controversy_note
stoicism,Stoicism,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-stoic-stoa,anchor-exhibit,The historical Stoa and its Roman developments provide Stoicism’s primary lineage; later moral and comparative routes remain secondary.,buddhist-philosophies;moral-life-practical-reason,
platonism,Platonism,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-plato-aristotle,anchor-exhibit,"Platonism begins beside Plato and the Academy; this record’s Forum and Justice routes support thematic comparison, while separate late-antique and medieval branch records trace historical transformations.",core-questions-forum;justice-democratic-reason,
aristotelianism,Aristotelianism,wing-mediterranean-antiquity,mediterranean-beginnings-classical,med-plato-aristotle,anchor-exhibit,"Aristotle’s Lyceum setting is the defensible origin point; Islamic, Jewish, Latin, and modern-field routes represent distinct receptions.",core-questions-forum;islamic-philosophical-worlds;jewish-philosophy;latin-christian-scholastic;moral-life-practical-reason,
neoplatonism,Neoplatonism,wing-mediterranean-antiquity,late-antiquity-inheritance,late-neoplatonic-systems,anchor-exhibit,Plotinus and later pagan Platonists form the tradition’s primary historical sequence; Christian and medieval transformations are later receptions.,core-questions-forum;islamic-philosophical-worlds;jewish-philosophy;latin-christian-scholastic;mediterranean-beginnings-classical,
metaphysics,Metaphysics,wing-core-questions,core-questions-forum,core-reality-being,anchor-exhibit,"Reality & Being is the comparative home for the modern field, with historical lenses preventing a single tradition from owning its questions.",mediterranean-beginnings-classical;classical-south-asian-worlds;buddhist-philosophies;islamic-philosophical-worlds;rationalism-mind-nature-system;german-idealism-afterlives,
ontology,Ontology,wing-core-questions,core-questions-forum,core-reality-being,anchor-exhibit,"Reality & Being provides a findable thematic home for inquiry into being, while historical routes show that ontology has no single origin.",mediterranean-beginnings-classical;classical-south-asian-worlds;buddhist-philosophies;islamic-philosophical-worlds;rationalism-mind-nature-system;german-idealism-afterlives;phenomenology-existence-embodiment,
epistemology,Epistemology,wing-core-questions,core-questions-forum,core-knowledge,anchor-exhibit,"Knowledge is the field-level home, but skeptical, South Asian, Buddhist, rationalist, and empiricist routes preserve different histories of warranted cognition.",empiricism-science-political-order;hellenistic-roman-ways;rationalism-mind-nature-system;classical-south-asian-worlds;buddhist-philosophies,
ethics,Ethics,wing-ethics-politics-society,moral-life-practical-reason,moral-ethics-orientation,anchor-exhibit,Moral Life is the broad practical-reason home; historical schools and political questions remain distinct routes rather than subfields absorbed here.,justice-democratic-reason,
virtue-ethics,Virtue Ethics,wing-ethics-politics-society,moral-life-practical-reason,moral-character-virtue,anchor-exhibit,"The character and flourishing room best stages virtue ethics as a contested practical tradition, with ancient and modern developments linked rather than duplicated.",hellenistic-roman-ways,
epicureanism,Epicureanism,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-epicurean-garden,anchor-exhibit,The Garden and its Roman transmission provide Epicureanism’s historical home; moral-life comparisons remain secondary.,moral-life-practical-reason,
cynicism,Cynicism,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-cynic-way,anchor-exhibit,"The Cynic challenge belongs in its Hellenistic practice setting, where disputed beginnings and anti-conventional performance can be explained together.",moral-life-practical-reason,
skepticism,Skepticism,wing-mediterranean-antiquity,hellenistic-roman-ways,hell-skeptical-lineages,anchor-exhibit,A shared historical hall can distinguish Academic and Pyrrhonian skeptical lineages while routing their later epistemological uses to the Forum.,core-questions-forum;rationalism-mind-nature-system,
deontology,Deontology,wing-ethics-politics-society,moral-life-practical-reason,moral-duty-consequence,anchor-exhibit,"Duty, respect, consequences, and welfare is the comparative ethics home; Kant’s Enlightenment installation supplies the essential historical threshold.",enlightenment-revolution-kant,
utilitarianism,Utilitarianism,wing-ethics-politics-society,moral-life-practical-reason,moral-duty-consequence,anchor-exhibit,"The moral-theory room enables direct comparison of consequence and welfare, while Bentham and Mill retain their nineteenth-century primary biographies.",justice-democratic-reason,
political-philosophy,Political Philosophy,wing-ethics-politics-society,justice-democratic-reason,justice-political-orientation,anchor-exhibit,"Political Action and Justice is the field-level home because authority, action, distribution, rights, and democracy require a sustained shared hall.",moral-life-practical-reason,
logic,Logic,wing-core-questions,core-questions-forum,core-logic-language,anchor-exhibit,"Logic & Language is the modern field home; Greek, Buddhist, Chinese, Islamic, Latin, and analytic routes prevent formal logic from appearing cultureless.",analytic-traditions;mediterranean-beginnings-classical;buddhist-philosophies;classical-chinese-traditions;islamic-philosophical-worlds;latin-christian-scholastic,
philosophy-of-language,Philosophy of Language,wing-core-questions,core-questions-forum,core-logic-language,anchor-exhibit,"Logic & Language is the findable field home, while ancient rhetoric, Buddhist semantics, Chinese naming debates, hermeneutics, and analytic work remain visible histories.",analytic-traditions;mediterranean-beginnings-classical;buddhist-philosophies;classical-chinese-traditions;phenomenology-existence-embodiment,"The modern academic field has ancient, Indian/Buddhist, Chinese, medieval, rhetorical, and interpretive prehistories."
philosophy-of-mind,Philosophy of Mind,wing-core-questions,core-questions-forum,core-mind-self,anchor-exhibit,"Mind & Self is the comparative field home; South Asian, Buddhist, rationalist, phenomenological, and analytic routes show competing vocabularies and aims.",classical-south-asian-worlds;buddhist-philosophies;rationalism-mind-nature-system;phenomenology-existence-embodiment;analytic-traditions,The human question predates the branch record’s modern start date; historical lenses must not imply a 1640 invention.
philosophy-of-science,Philosophy of Science,wing-core-questions,core-questions-forum,core-science,anchor-exhibit,"Science is the comparative field home, linked to Islamic inquiry, early-modern method, empiricism, pragmatism, and analytic debates rather than a single origin story.",renaissance-humanism-new-method;empiricism-science-political-order;islamic-philosophical-worlds;pragmatism-democratic-inquiry;analytic-traditions,
aesthetics,Aesthetics,wing-core-questions,core-questions-forum,core-aesthetics,anchor-exhibit,"Aesthetics receives a thematic Forum home, with historical routes to ancient, East Asian, Enlightenment, German Idealist, Nietzschean, and pragmatist arguments.",moral-life-practical-reason;mediterranean-beginnings-classical;classical-chinese-traditions;enlightenment-revolution-kant;german-idealism-afterlives;faith-pessimism-life-value;pragmatism-democratic-inquiry,
